INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
OP2601,D,4216,2025101510:15:00,,9:00-10:15,,op_f,6.00001,20251015
OP2601,D,4214,2025101515:00:00,,9:00-15:00,,op_f,6.00001,20251015
EC2510,D,1133.1,2025101510:15:00,,9:00-10:15,,ec_f,-1.29999,20251015
EC2510,D,1128.1,2025101515:00:00,,9:00-15:00,,ec_f,-6.29999,20251015
CU2511,D,85020,2025101610:15:00,,9:00-10:15,,cu_f,-109.99999,20251016
CU2511,D,84970,2025101615:00:00,,9:00-15:00,,cu_f,-349.99999,20251016
BC2511,D,75480,2025101610:15:00,,9:00-10:15,,bc_f,-129.99999,20251016
BC2511,D,75420,2025101615:00:00,,9:00-15:00,,bc_f,-399.99999,20251016
AL2511,D,20905,2025101610:15:00,,9:00-10:15,,al_f,15.00001,20251016
AL2511,D,20930,2025101615:00:00,,9:00-15:00,,al_f,30.00001,20251016
ZN2511,D,21955,2025101610:15:00,,9:00-10:15,,zn_f,-74.99999,20251016
ZN2511,D,21935,2025101615:00:00,,9:00-15:00,,zn_f,-74.99999,20251016
PB2511,D,17110,2025101610:15:00,,9:00-10:15,,pb_f,55.00001,20251016
PB2511,D,17115,2025101615:00:00,,9:00-15:00,,pb_f,30.00001,20251016
NI2511,D,120880,2025101610:15:00,,9:00-10:15,,ni_f,-209.99999,20251016
NI2511,D,121050,2025101615:00:00,,9:00-15:00,,ni_f,-19.99999,20251016
SN2511,D,280310,2025101610:15:00,,9:00-10:15,,sn_f,-809.99999,20251016
SN2511,D,280570,2025101615:00:00,,9:00-15:00,,sn_f,-479.99999,20251016
AO2511,D,2763,2025101610:15:00,,9:00-10:15,,ao_f,-21.99999,20251016
AO2511,D,2765,2025101615:00:00,,9:00-15:00,,ao_f,-10.99999,20251016
AD2511,D,20355,2025101610:15:00,,9:00-10:15,,ad_f,-4.99999,20251016
AD2511,D,20385,2025101615:00:00,,9:00-15:00,,ad_f,20.00001,20251016
AU2511,D,966.64,2025101610:15:00,,9:00-10:15,,au_f,11.48001,20251016
AU2511,D,965.22,2025101615:00:00,,9:00-15:00,,au_f,9.98001,20251016
AG2511,D,12141,2025101610:15:00,,9:00-10:15,,ag_f,320.00001,20251016
AG2511,D,12048,2025101615:00:00,,9:00-15:00,,ag_f,202.00001,20251016
RB2511,D,2969,2025101610:15:00,,9:00-10:15,,rb_f,-25.99999,20251016
RB2511,D,2974,2025101615:00:00,,9:00-15:00,,rb_f,-9.99999,20251016
WR2511,D,0,2025101610:15:00,,9:00-10:15,,wr_f,0,20251016
WR2511,D,0,2025101615:00:00,,9:00-15:00,,wr_f,0,20251016
HC2511,D,3254,2025101610:15:00,,9:00-10:15,,hc_f,-38.99999,20251016
HC2511,D,3258,2025101615:00:00,,9:00-15:00,,hc_f,-23.99999,20251016
SS2511,D,12485,2025101610:15:00,,9:00-10:15,,ss_f,-29.99999,20251016
SS2511,D,12515,2025101615:00:00,,9:00-15:00,,ss_f,-14.99999,20251016
SC2511,D,443,2025101610:15:00,,9:00-10:15,,sc_f,0.10001,20251016
SC2511,D,443.2,2025101615:00:00,,9:00-15:00,,sc_f,0.90001,20251016
LU2511,D,3143,2025101610:15:00,,9:00-10:15,,lu_f,2.00001,20251016
LU2511,D,3144,2025101615:00:00,,9:00-15:00,,lu_f,5.00001,20251016
FU2511,D,2763,2025101610:15:00,,9:00-10:15,,fu_f,32.00001,20251016
FU2511,D,2760,2025101615:00:00,,9:00-15:00,,fu_f,29.00001,20251016
BU2511,D,3253,2025101610:15:00,,9:00-10:15,,bu_f,-12.99999,20251016
BU2511,D,3268,2025101615:00:00,,9:00-15:00,,bu_f,13.00001,20251016
BR2511,D,11010,2025101610:15:00,,9:00-10:15,,br_f,210.00001,20251016
BR2511,D,11055,2025101615:00:00,,9:00-15:00,,br_f,235.00001,20251016
RU2511,D,14105,2025101610:15:00,,9:00-10:15,,ru_f,5.00001,20251016
RU2511,D,14130,2025101615:00:00,,9:00-15:00,,ru_f,25.00001,20251016
NR2511,D,12315,2025101610:15:00,,9:00-10:15,,nr_f,190.00001,20251016
NR2511,D,12340,2025101615:00:00,,9:00-15:00,,nr_f,185.00001,20251016
SP2511,D,4862,2025101610:15:00,,9:00-10:15,,sp_f,4.00001,20251016
SP2511,D,4852,2025101615:00:00,,9:00-15:00,,sp_f,2.00001,20251016
OP2601,D,4214,2025101610:15:00,,9:00-10:15,,op_f,-1.99999,20251016
OP2601,D,4212,2025101615:00:00,,9:00-15:00,,op_f,-1.99999,20251016
EC2510,D,1121.5,2025101610:15:00,,9:00-10:15,,ec_f,-11.59999,20251016
EC2510,D,1111.9,2025101615:00:00,,9:00-15:00,,ec_f,-16.19999,20251016
CU2511,D,84820,2025101710:15:00,,9:00-10:15,,cu_f,-199.99999,20251017
CU2511,D,84630,2025101715:00:00,,9:00-15:00,,cu_f,-339.99999,20251017
BC2511,D,75320,2025101710:15:00,,9:00-10:15,,bc_f,-159.99999,20251017
BC2511,D,75160,2025101715:00:00,,9:00-15:00,,bc_f,-259.99999,20251017
AL2511,D,20970,2025101710:15:00,,9:00-10:15,,al_f,65.00001,20251017
AL2511,D,20935,2025101715:00:00,,9:00-15:00,,al_f,5.00001,20251017
ZN2511,D,21930,2025101710:15:00,,9:00-10:15,,zn_f,-24.99999,20251017
ZN2511,D,21875,2025101715:00:00,,9:00-15:00,,zn_f,-59.99999,20251017
PB2511,D,17035,2025101710:15:00,,9:00-10:15,,pb_f,-74.99999,20251017
PB2511,D,17045,2025101715:00:00,,9:00-15:00,,pb_f,-69.99999,20251017
NI2511,D,121350,2025101710:15:00,,9:00-10:15,,ni_f,470.00001,20251017
NI2511,D,121210,2025101715:00:00,,9:00-15:00,,ni_f,160.00001,20251017
SN2511,D,281190,2025101710:15:00,,9:00-10:15,,sn_f,880.00001,20251017
SN2511,D,281270,2025101715:00:00,,9:00-15:00,,sn_f,700.00001,20251017
AO2511,D,2779,2025101710:15:00,,9:00-10:15,,ao_f,16.00001,20251017
AO2511,D,2782,2025101715:00:00,,9:00-15:00,,ao_f,17.00001,20251017
