INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
ZN2511,D,22030,2025101510:15:00,,9:00-10:15,,zn_f,-269.99999,20251015
ZN2511,D,22010,2025101515:00:00,,9:00-15:00,,zn_f,-259.99999,20251015
PB2511,D,17055,2025101510:15:00,,9:00-10:15,,pb_f,-9.99999,20251015
PB2511,D,17085,2025101515:00:00,,9:00-15:00,,pb_f,10.00001,20251015
NI2512,D,121260,2025101510:15:00,,9:00-10:15,,ni_f,-9.99999,20251015
NI2512,D,121230,2025101515:00:00,,9:00-15:00,,ni_f,240.00001,20251015
SN2511,D,281120,2025101510:15:00,,9:00-10:15,,sn_f,-1909.99999,20251015
SN2511,D,281050,2025101515:00:00,,9:00-15:00,,sn_f,-629.99999,20251015
AO2601,D,2810,2025101510:15:00,,9:00-10:15,,ao_f,5.00001,20251015
AO2601,D,2800,2025101515:00:00,,9:00-15:00,,ao_f,-4.99999,20251015
AD2512,D,20425,2025101510:15:00,,9:00-10:15,,ad_f,-74.99999,20251015
AD2512,D,20430,2025101515:00:00,,9:00-15:00,,ad_f,5.00001,20251015
AU2512,D,956.68,2025101510:15:00,,9:00-10:15,,au_f,10.96001,20251015
AU2512,D,956.42,2025101515:00:00,,9:00-15:00,,au_f,13.00001,20251015
AG2512,D,11826,2025101510:15:00,,9:00-10:15,,ag_f,-96.99999,20251015
AG2512,D,11856,2025101515:00:00,,9:00-15:00,,ag_f,134.00001,20251015
RB2601,D,3058,2025101510:15:00,,9:00-10:15,,rb_f,1e-05,20251015
RB2601,D,3041,2025101515:00:00,,9:00-15:00,,rb_f,-11.99999,20251015
WR2601,D,3348,2025101510:15:00,,9:00-10:15,,wr_f,16.00001,20251015
WR2601,D,3342,2025101515:00:00,,9:00-15:00,,wr_f,13.00001,20251015
HC2601,D,3244,2025101510:15:00,,9:00-10:15,,hc_f,8.00001,20251015
HC2601,D,3222,2025101515:00:00,,9:00-15:00,,hc_f,-10.99999,20251015
SS2512,D,12550,2025101510:15:00,,9:00-10:15,,ss_f,-29.99999,20251015
SS2512,D,12560,2025101515:00:00,,9:00-15:00,,ss_f,-4.99999,20251015
SC2512,D,445.2,2025101510:15:00,,9:00-10:15,,sc_f,-8.69999,20251015
SC2512,D,444.7,2025101515:00:00,,9:00-15:00,,sc_f,-6.29999,20251015
LU2512,D,3161,2025101510:15:00,,9:00-10:15,,lu_f,-62.99999,20251015
LU2512,D,3156,2025101515:00:00,,9:00-15:00,,lu_f,-59.99999,20251015
FU2601,D,2674,2025101510:15:00,,9:00-10:15,,fu_f,-48.99999,20251015
FU2601,D,2673,2025101515:00:00,,9:00-15:00,,fu_f,-33.99999,20251015
BU2601,D,3154,2025101510:15:00,,9:00-10:15,,bu_f,-5.99999,20251015
BU2601,D,3149,2025101515:00:00,,9:00-15:00,,bu_f,-16.99999,20251015
BR2512,D,10745,2025101510:15:00,,9:00-10:15,,br_f,-74.99999,20251015
BR2512,D,10760,2025101515:00:00,,9:00-15:00,,br_f,1e-05,20251015
RU2601,D,14865,2025101510:15:00,,9:00-10:15,,ru_f,5.00001,20251015
RU2601,D,14850,2025101515:00:00,,9:00-15:00,,ru_f,30.00001,20251015
NR2512,D,12090,2025101510:15:00,,9:00-10:15,,nr_f,90.00001,20251015
NR2512,D,12115,2025101515:00:00,,9:00-15:00,,nr_f,155.00001,20251015
SP2601,D,5182,2025101510:15:00,,9:00-10:15,,sp_f,30.00001,20251015
SP2601,D,5174,2025101515:00:00,,9:00-15:00,,sp_f,18.00001,20251015
OP2601,D,4216,2025101510:15:00,,9:00-10:15,,op_f,6.00001,20251015
OP2601,D,4214,2025101515:00:00,,9:00-15:00,,op_f,6.00001,20251015
EC2512,D,1702.6,2025101510:15:00,,9:00-10:15,,ec_f,112.20001,20251015
EC2512,D,1713.5,2025101515:00:00,,9:00-15:00,,ec_f,74.20001,20251015
CU2512,D,85070,2025101610:15:00,,9:00-10:15,,cu_f,-79.99999,20251016
CU2512,D,84980,2025101615:00:00,,9:00-15:00,,cu_f,-389.99999,20251016
BC2511,D,75480,2025101610:15:00,,9:00-10:15,,bc_f,-129.99999,20251016
BC2511,D,75420,2025101615:00:00,,9:00-15:00,,bc_f,-399.99999,20251016
AL2512,D,20930,2025101610:15:00,,9:00-10:15,,al_f,25.00001,20251016
AL2512,D,20955,2025101615:00:00,,9:00-15:00,,al_f,35.00001,20251016
ZN2512,D,21980,2025101610:15:00,,9:00-10:15,,zn_f,-84.99999,20251016
ZN2512,D,21960,2025101615:00:00,,9:00-15:00,,zn_f,-84.99999,20251016
PB2511,D,17110,2025101610:15:00,,9:00-10:15,,pb_f,55.00001,20251016
PB2511,D,17115,2025101615:00:00,,9:00-15:00,,pb_f,30.00001,20251016
NI2512,D,121020,2025101610:15:00,,9:00-10:15,,ni_f,-239.99999,20251016
NI2512,D,121210,2025101615:00:00,,9:00-15:00,,ni_f,-19.99999,20251016
SN2511,D,280310,2025101610:15:00,,9:00-10:15,,sn_f,-809.99999,20251016
SN2511,D,280570,2025101615:00:00,,9:00-15:00,,sn_f,-479.99999,20251016
AO2601,D,2786,2025101610:15:00,,9:00-10:15,,ao_f,-23.99999,20251016
AO2601,D,2787,2025101615:00:00,,9:00-15:00,,ao_f,-12.99999,20251016
AD2512,D,20435,2025101610:15:00,,9:00-10:15,,ad_f,10.00001,20251016
AD2512,D,20460,2025101615:00:00,,9:00-15:00,,ad_f,30.00001,20251016
AU2512,D,966.58,2025101610:15:00,,9:00-10:15,,au_f,9.90001,20251016
AU2512,D,966.14,2025101615:00:00,,9:00-15:00,,au_f,9.72001,20251016
AG2512,D,12160,2025101610:15:00,,9:00-10:15,,ag_f,334.00001,20251016
AG2512,D,12055,2025101615:00:00,,9:00-15:00,,ag_f,199.00001,20251016
RB2601,D,3032,2025101610:15:00,,9:00-10:15,,rb_f,-25.99999,20251016
RB2601,D,3039,2025101615:00:00,,9:00-15:00,,rb_f,-1.99999,20251016
WR2601,D,3332,2025101610:15:00,,9:00-10:15,,wr_f,-15.99999,20251016
WR2601,D,3336,2025101615:00:00,,9:00-15:00,,wr_f,-5.99999,20251016
HC2601,D,3208,2025101610:15:00,,9:00-10:15,,hc_f,-35.99999,20251016
